Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
F8,Coagulation Factor VIII,Protein Coding,P00451,61,GC0XM154835,34.91323471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F8
CD44,CD44 Molecule (IN Blood Group),Protein Coding,P16070,61,GC11P035139,34.59613037,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
HTRA1,HtrA Serine Peptidase 1,Protein Coding,Q92743,57,GC10P125997,34.56607819,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA1
SST,Somatostatin,Protein Coding,P61278,54,GC03M187668,34.52286148,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST
CD79A,CD79a Molecule,Protein Coding,P11912,61,GC19P041877,34.35748291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A
AGL,"Amylo-Alpha-1,6-Glucosidase And 4-Alpha-Glucanotransferase",Protein Coding,P35573,58,GC01P099850,34.17861938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGL
LRP2,LDL Receptor Related Protein 2,Protein Coding,P98164,61,GC02M169127,34.17269897,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2
CD59,CD59 Molecule (CD59 Blood Group),Protein Coding,P13987,59,GC11M033737,34.1305809,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59
RBP4,Retinol Binding Protein 4,Protein Coding,P02753,58,GC10M093591,34.08593369,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4
GYG1,Glycogenin 1,Protein Coding,P46976,58,GC03P148991,33.98018646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYG1
POMGNT2,"Protein O-Linked Mannose N-Acetylglucosaminyltransferase 2 (Beta 1,4-)",Protein Coding,Q8NAT1,51,GC03M043121,33.47122574,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMGNT2
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,Q07869,57,GC22P046150,33.28728867,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA
PAX4,Paired Box 4,Protein Coding,O43316,52,GC07M127610,33.24555206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX4
EPAS1,Endothelial PAS Domain Protein 1,Protein Coding,Q99814,64,GC02P046293,33.23004913,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1
GLDC,Glycine Decarboxylase,Protein Coding,P23378,60,GC09M006522,33.2083931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC
FTO,FTO Alpha-Ketoglutarate Dependent Dioxygenase,Protein Coding,Q9C0B1,59,GC16P121535,32.98413086,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO
ODC1,Ornithine Decarboxylase 1,Protein Coding,P11926,61,GC02M010432,32.88970566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1
CD46,CD46 Molecule,Protein Coding,P15529,61,GC01P207752,32.7481842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD46
F3,"Coagulation Factor III, Tissue Factor",Protein Coding,P13726,58,GC01M095040,32.62830734,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3
TGFA,Transforming Growth Factor Alpha,Protein Coding,P01135,58,GC02M070447,32.38546371,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA
PRL,Prolactin,Protein Coding,P01236,56,GC06M022287,32.14139938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL
AFP,Alpha Fetoprotein,Protein Coding,P02771,60,GC04P073431,32.12206268,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP
P4HB,Prolyl 4-Hydroxylase Subunit Beta,Protein Coding,P07237,62,GC17M081843,31.80906677,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HB
SI,Sucrase-Isomaltase,Protein Coding,P14410,58,GC03M164978,31.61200905,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SI
TAT,Tyrosine Aminotransferase,Protein Coding,P17735,58,GC16M071565,31.43664551,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT
CLU,Clusterin,Protein Coding,P10909,60,GC08M027596,31.43141937,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU
ANXA5,Annexin A5,Protein Coding,P08758,60,GC04M121667,31.41915512,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5
PTF1A,Pancreas Associated Transcription Factor 1a,Protein Coding,Q7RTS3,54,GC10P023194,31.3416748,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTF1A
LOC111674472,DNase I Hypersensitive Sites In Introns 16 And 17a Of CFTR,Functional Element,,9,GC07P117607,31.28097916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111674472
PYGM,"Glycogen Phosphorylase, Muscle Associated",Protein Coding,P11217,60,GC11M064746,31.2678833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGM
CETP,Cholesteryl Ester Transfer Protein,Protein Coding,P11597,60,GC16P056961,31.14777756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,P09211,62,GC11P067583,31.00924301,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1
CTSB,Cathepsin B,Protein Coding,P07858,64,GC08M011842,30.69562531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene,,20,GC06M159772,30.546175,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1
TPI1,Triosephosphate Isomerase 1,Protein Coding,P60174,60,GC12P006867,30.54192924,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1
CDKN3,Cyclin Dependent Kinase Inhibitor 3,Protein Coding,Q16667,54,GC14P058243,30.09767532,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3
CALCA,Calcitonin Related Polypeptide Alpha,Protein Coding,P06881,57,GC11M014966,29.98698425,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA
SLC3A1,Solute Carrier Family 3 Member 1,Protein Coding,Q07837,60,GC02P044275,29.98644257,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A1
POU5F1,POU Class 5 Homeobox 1,Protein Coding,Q01860,60,GC06M106430,29.97920799,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1
PPP3CA,Protein Phosphatase 3 Catalytic Subunit Alpha,Protein Coding,Q08209,64,GC04M101024,29.72417831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CA
GCG,Glucagon,Protein Coding,P01275,55,GC02M162142,29.32823372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG
CFTR-AS1,CFTR Antisense RNA 1,RNA Gene,,20,GC07M117542,28.9030323,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR-AS1
KRT7,Keratin 7,Protein Coding,P08729,55,GC12P052232,28.8478508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7
GPT,Glutamic--Pyruvic Transaminase,Protein Coding,P24298,55,GC08P144502,28.79141808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
S100B,S100 Calcium Binding Protein B,Protein Coding,P04271,58,GC21M054960,28.7419281,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B
CHGA,Chromogranin A,Protein Coding,P10645,56,GC14P095285,28.6903286,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA
KLF4,KLF Transcription Factor 4,Protein Coding,O43474,60,GC09M107484,28.65799713,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4
LTF,Lactotransferrin,Protein Coding,P02788,58,GC03M046435,28.50686646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF
FOXA2,Forkhead Box A2,Protein Coding,Q9Y261,60,GC20M022581,28.49571991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA2
TXN,Thioredoxin,Protein Coding,P10599,59,GC09M110243,28.44362831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN
KLK3,Kallikrein Related Peptidase 3,Protein Coding,P07288,60,GC19P050854,28.33779144,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3
UBC,Ubiquitin C,Protein Coding,P0CG48,56,GC12M124911,28.23091507,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC
TCOF1,Treacle Ribosome Biogenesis Factor 1,Protein Coding,Q13428,54,GC05P159304,28.15587234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCOF1
PSAT1,Phosphoserine Aminotransferase 1,Protein Coding,Q9Y617,59,GC09P078297,27.95097351,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSAT1
IL2RB,Interleukin 2 Receptor Subunit Beta,Protein Coding,P14784,62,GC22M086125,27.71056747,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB
PDP1,Pyruvate Dehydrogenase Phosphatase Catalytic Subunit 1,Protein Coding,Q9P0J1,60,GC08P093857,27.69215393,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDP1
HCRT,Hypocretin Neuropeptide Precursor,Protein Coding,O43612,53,GC17M097206,27.53092003,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT
OXA1L,OXA1L Mitochondrial Inner Membrane Insertase,Protein Coding,Q15070,51,GC14P022766,27.52441216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXA1L
PYCR2,Pyrroline-5-Carboxylate Reductase 2,Protein Coding,Q96C36,58,GC01M225919,27.47215271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCR2
C1S,Complement C1s,Protein Coding,P09871,60,GC12P074088,26.86862755,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S
GYS1,Glycogen Synthase 1,Protein Coding,P13807,62,GC19M109023,26.45012856,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS1
CCK,Cholecystokinin,Protein Coding,P06307,56,GC03M042274,26.44116211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK
KRT18,Keratin 18,Protein Coding,P05783,62,GC12P052948,26.23541069,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18
GAL,Galanin And GMAP Prepropeptide,Protein Coding,P22466,57,GC11P108040,26.0503273,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL
BACE1,Beta-Secretase 1,Protein Coding,P56817,60,GC11M117285,25.99098587,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1
AGPS,Alkylglycerone Phosphate Synthase,Protein Coding,O00116,55,GC02P177392,25.97806358,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPS
AGTR2,Angiotensin II Receptor Type 2,Protein Coding,P50052,57,GC0XP116170,25.78513145,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2
PTDSS1,Phosphatidylserine Synthase 1,Protein Coding,P48651,56,GC08P096261,25.73323059,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTDSS1
SPINK5,Serine Peptidase Inhibitor Kazal Type 5,Protein Coding,Q9NQ38,53,GC05P148025,25.53695297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK5
ISL1,ISL LIM Homeobox 1,Protein Coding,P61371,57,GC05P051383,25.15663338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISL1
AMY1B,Amylase Alpha 1B,Protein Coding,P0DTE7,40,GC01M103687,24.95645714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1B
ARF1,ARF GTPase 1,Protein Coding,P84077,58,GC01P228082,24.68203354,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF1
AMY1C,Amylase Alpha 1C,Protein Coding,P0DTE8,38,GC01P103745,24.12046051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1C
MGAM,Maltase-Glucoamylase,Protein Coding,O43451,57,GC07P167658,24.04112625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGAM
ENO1,Enolase 1,Protein Coding,P06733,61,GC01M008861,23.69091225,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO1
F12,Coagulation Factor XII,Protein Coding,P00748,61,GC05M177402,23.51449203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F12
GC,GC Vitamin D Binding Protein,Protein Coding,P02774,58,GC04M071741,23.37718201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC
CEACAM3,CEA Cell Adhesion Molecule 3,Protein Coding,P40198,55,GC19P041796,23.26123047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM3
MAT1A,Methionine Adenosyltransferase 1A,Protein Coding,Q00266,60,GC10M080271,23.09552574,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT1A
CHM,CHM Rab Escort Protein,Protein Coding,P24386,53,GC0XM085861,23.03120232,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHM
PPP1R3A,Protein Phosphatase 1 Regulatory Subunit 3A,Protein Coding,Q16821,56,GC07M113876,23.02926254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3A
IGHE,Immunoglobulin Heavy Constant Epsilon,Protein Coding,P01854,42,GC14M124465,22.78494072,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE
FURIN,"Furin, Paired Basic Amino Acid Cleaving Enzyme",Protein Coding,P09958,61,GC15P090868,22.58389091,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN
ANXA2,Annexin A2,Protein Coding,P07355,60,GC15M060347,22.5835495,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2
GAST,Gastrin,Protein Coding,P01350,52,GC17P041712,22.58347702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST
S100A9,S100 Calcium Binding Protein A9,Protein Coding,P06702,56,GC01P153357,22.43746948,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9
CD82,CD82 Molecule,Protein Coding,P27701,57,GC11P044564,21.8241024,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD82
S100A8,S100 Calcium Binding Protein A8,Protein Coding,P05109,55,GC01M167351,21.69200134,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8
LGALS1,Galectin 1,Protein Coding,P09382,56,GC22P037675,21.68605423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1
SORD,Sorbitol Dehydrogenase,Protein Coding,Q00796,60,GC15P045023,21.68243217,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORD
NES,Nestin,Protein Coding,P48681,52,GC01M156668,21.41719055,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NES
CSNK2A2,Casein Kinase 2 Alpha 2,Protein Coding,P19784,58,GC16M058157,21.19147301,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A2
GYPA,Glycophorin A (MNS Blood Group),Protein Coding,P02724,56,GC04M144109,21.07675362,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYPA
MUC5B,"Mucin 5B, Oligomeric Mucus/Gel-Forming",Protein Coding,Q9HC84,54,GC11P020284,20.93067741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5B
SLC3A2,Solute Carrier Family 3 Member 2,Protein Coding,P08195,56,GC11P062856,20.79344749,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2
AKR1B1,Aldo-Keto Reductase Family 1 Member B,Protein Coding,P15121,59,GC07M134442,20.44742966,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B1
MUC5AC,"Mucin 5AC, Oligomeric Mucus/Gel-Forming",Protein Coding,P98088,51,GC11P020281,20.44094467,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5AC
LYZ,Lysozyme,Protein Coding,P61626,58,GC12P069348,20.25529099,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYZ
SERPINF2,Serpin Family F Member 2,Protein Coding,P08697,57,GC17P001742,19.38121605,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF2
F2RL1,F2R Like Trypsin Receptor 1,Protein Coding,P55085,56,GC05P076818,19.35672569,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1
CS,Citrate Synthase,Protein Coding,O75390,58,GC12M056271,19.26000977,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS
TRA-TGC7-1,TRNA-Ala (Anticodon TGC) 7-1,RNA Gene,,14,GC06M106311,19.04526711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1
CTSG,Cathepsin G,Protein Coding,P08311,58,GC14M024573,18.81818581,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG
ATP5F1B,ATP Synthase F1 Subunit Beta,Protein Coding,P06576,57,GC12M060417,18.73653793,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1B
AQP5,Aquaporin 5,Protein Coding,P55064,60,GC12P049961,18.61931992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP5
PAPPA,Pappalysin 1,Protein Coding,Q13219,55,GC09P152394,18.54434204,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA
ABO,"ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase",Protein Coding,P16442,49,GC09M133250,18.46611786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO
CSN1S1,Casein Alpha S1,Protein Coding,P47710,50,GC04P070102,18.41933632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN1S1
